scientific_name,mapped_species,match_score
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
Pastor roseus,Other/Unknown,58.82352941176471
